Sample;Timestamp;Drift;Drift Error;Offset;Offset Error
0;1.55629e+15;0;21.6695;2189.86;50614
1;1.55629e+15;0.993914;0.0305614;-128.6;2136.78
2;1.55629e+15;0.996857;0.0145405;-137.073;2099.06
3;1.55629e+15;0.996841;0.0104726;-301.212;1925.79
4;1.55629e+15;0.998728;0.00688913;-578.535;1644.68
5;1.55629e+15;0.998179;0.00633962;-559.743;1625.89
6;1.55629e+15;0.99988;0.00356536;-733.564;1342.8
7;1.55629e+15;1.00001;0.00309267;-747.002;1294.58
8;1.55629e+15;0.999983;0.00258429;-744.144;1242.74
9;1.55629e+15;0.999998;0.0023129;-745.713;1215.06
10;1.55629e+15;0.999947;0.00205617;-740.478;1188.89
11;1.55629e+15;0.999984;0.00182204;-744.359;1165.01
12;1.55629e+15;0.999975;0.00164269;-743.469;1146.72
13;1.55629e+15;0.999975;0.00152087;-749.238;1128.5
14;1.55629e+15;1.00005;0.00144428;-764.716;1113.02
15;1.55629e+15;0.999981;0.00127393;-762.501;1090.67
16;1.55629e+15;1.00001;0.00122874;-769.364;1082.29
17;1.55629e+15;1.00003;0.00114655;-776.564;1068.78
18;1.55629e+15;0.999971;0.00101101;-764.586;1041.66
19;1.55629e+15;0.999996;0.000985585;-769.725;1036.52
20;1.55629e+15;1.00001;0.000930314;-772.429;1025.35
21;1.55629e+15;1;0.000881362;-771.186;1015.47
22;1.55629e+15;1.00002;0.00084969;-774.17;1009.07
23;1.55629e+15;1.00001;0.000824393;-771.52;1003.96
24;1.55629e+15;0.999994;0.000758791;-769.36;990.602
25;1.55629e+15;1;0.000749821;-772.078;987.884
26;1.55629e+15;1.00002;0.000731555;-777.613;982.348
27;1.55629e+15;1.00005;0.000707361;-784.946;975.016
28;1.55629e+15;1.00006;0.000694005;-788.994;970.968
29;1.55629e+15;1.00007;0.000679571;-793.368;966.594
30;1.55629e+15;1.00007;0.000679571;-793.368;966.594
31;1.55629e+15;1.00004;0.000615713;-788.242;952.146
32;1.55629e+15;1.00005;0.000607654;-790.685;949.704
33;1.55629e+15;1.00006;0.000596973;-793.922;946.467
34;1.55629e+15;1.00007;0.000583413;-798.031;942.357
35;1.55629e+15;1;0.000513471;-783.911;928.237
36;1.55629e+15;1.00001;0.000503934;-786.802;925.347
37;1.55629e+15;1.00001;0.00047611;-787.614;918.442
38;1.55629e+15;1;0.000461896;-785.912;915.338
39;1.55629e+15;1;0.000457919;-787.118;914.133
40;1.55629e+15;1.00001;0.00045549;-787.854;913.397
41;1.55629e+15;1.00001;0.000436538;-789.047;908.565
42;1.55629e+15;0.999998;0.000427686;-787.26;906.778
43;1.55629e+15;0.999987;0.000398851;-785.717;900.099
44;1.55629e+15;0.999993;0.000392385;-787.677;898.14
